App Name,Size (bytes),App id,Currency,Price,Rating (All),Rating (Current),Avg Rating (All),Avy Rating (Current),Version,Rating(Content),Prefrence,Supp Devices,Screenshot,Supp Lang,Vpp Lic
CITB op/spec HS&E test 2016,24169472,1082673403,USD,5.99,0,0,0,0,3.0.17,12+,Education,37,5,1,1
NEO TURF MASTERS,53506048,1082674903,USD,2.99,96,38,4.5,4.5,1.0.1,4+,Games,38,5,10,1
Pugmoji sticker keyboard by The BatPug,61099008,1082678255,USD,1.99,76,22,3.5,2.5,1.0.3,4+,Utilities,37,0,1,1
SkillTwins Football Game,192502784,1082679672,USD,0,332,75,4.5,4.5,1.5,4+,Games,38,5,1,1
Haunted Legends: The Secret of Life - A Mystery Hidden Object Game (Full),1317195776,1082764317,USD,6.99,69,15,4.5,5,1.0.2,9+,Games,37,5,5,1
Tiny Sea Adventure,92748800,1082781138,USD,0,87,63,3.5,3.5,0.0.15,4+,Games,40,4,1,1
Bumper Jump,54568960,1082793702,USD,0,166,4,4.5,5,1.2.3,4+,Games,37,5,4,1
Win the White House,437022720,1082836132,USD,0,123,77,3.5,4,1.1.3,4+,Education,24,5,1,1
Wellbeyond Meditation for Kids,68709376,1082891966,USD,0,36,8,4,4,2,4+,Health & Fitness,37,5,1,1
Benzomoji,9922560,1082958318,USD,0.99,22,1,5,5,1.0.3,12+,Entertainment,37,4,1,1
Vetmoji,10045440,1082958327,USD,1.99,40,11,3,2.5,1.0.4,4+,Entertainment,37,4,1,1
Justmoji,11343872,1082958340,USD,1.99,914,64,5,4,1.0.3,9+,Entertainment,37,5,1,1
Vector 2,272344064,1082965369,USD,0,554,521,4.5,4.5,1.0.7,9+,Games,37,5,1,1
Mods for Pc & Addons for Minecraft Pocket Edition,33801216,1082986584,USD,1.99,2419,588,4.5,4.5,1.22,4+,Entertainment,37,3,26,1
GhostCodes - a discovery app for Snapchat,54652928,1083057569,USD,0,1313,223,4.5,4.5,1.9.9,12+,Social Networking,37,0,1,1
Evil Dead: Endless Nightmare,259914752,1083107235,USD,0,171,48,4.5,4.5,1.2,17+,Games,37,5,1,1
Lemon Lumberjack's Letter Mill,155712512,1083174287,USD,0,34,0,4.5,0,1.0.5,4+,Education,37,5,1,1
KleptoCats,391116800,1083229791,USD,0,13300,436,4.5,4.5,3.11,4+,Games,37,5,1,1
僕の妹が死んだ。,83909632,1083345097,USD,0,0,0,0,0,2.5,9+,Games,37,0,2,1
Monster Busters: Link Flash,125476864,1083356839,USD,0,42,0,4.5,0,1.0.62,4+,Games,40,5,1,1
Dog Mendonca,534096896,1083362092,USD,4.99,24,24,3.5,3.5,1,12+,Games,38,5,6,1
Les Anges,58943488,1083367051,USD,0,0,0,0,0,2.2,17+,Entertainment,37,0,2,1
Sudoku Pro Edition,8185856,1083442831,USD,2.99,56,6,3.5,2.5,1.1,4+,Games,40,3,2,1
Leap Day,196566016,1083451870,USD,0,3763,46,4.5,4.5,1.3.20,4+,Games,37,5,1,1
Walls & Balls,113096704,1083708143,USD,0,110,0,4,0,2.3,4+,Games,25,5,9,1
Note Rush: Learn Music Sight Reading + Piano Notes,224086016,1083801827,USD,3.99,45,3,4.5,4,1.26,4+,Games,38,5,1,1
ROMANCING SAGA 2,356268032,1083835330,USD,17.99,58,18,4,4,1.01,12+,Games,38,5,1,1
Teeter – Endless Arcade Balancer,112320512,1084084901,USD,0,50,16,4,3.5,1.5.1,4+,Games,37,3,8,1
RPG 偽りの物語 / ドット絵ロールプレイングゲーム,237879296,1084085985,USD,0.99,0,0,0,0,1.2.7,4+,Games,38,5,1,1
Fake Message - Make a fake lock screen,7939072,1084133300,USD,0.99,6,0,3,0,1.5.2,4+,Entertainment,37,0,4,1
Gravity Square!,151777280,1084135698,USD,0,58,10,2.5,2.5,1.0.3,4+,Games,38,5,1,1
My Town : School,406969344,1084144010,USD,2.99,138,86,4,4,1.1,4+,Entertainment,38,5,1,1
Black Hole Joyrider,30263296,1084153783,USD,0.99,8,8,2.5,2.5,1,4+,Games,43,5,22,1
Mersenne Melodic Percussion Synthesizer,5267456,1084197093,USD,5.99,17,3,4.5,4.5,1.1.4,4+,Music,24,5,1,1
Letter Soup - Word Game,88837120,1084252650,USD,0,18358,2426,4.5,4.5,5.1.1,4+,Games,37,5,1,1
金のフレーズ 〜「新TOEIC®TEST 出る単特急 金のフレーズ」収録 〜,85052416,1084253570,USD,4.99,0,0,0,0,1.2.3,4+,Education,37,5,2,1
Figure Skater - Girls Makeup & Dressup Salon Game,90331136,1084264750,USD,1.99,6,3,5,5,9999.1.2,4+,Games,40,5,1,1
脳トレ物理パズル【キタコレ！】～IQの限界に挑めるパズルゲーム～ktkr,173859840,1084290631,USD,0,0,0,0,0,1.3.2,4+,Games,38,4,5,1
Folioscope,19379200,1084331400,USD,0,339,11,4.5,4.5,1.1,12+,Entertainment,37,5,14,1
Fear the Walking Dead: Dead Run–Tactical Runner,835548160,1084407935,USD,0,2533,174,4.5,4.5,1.4.4,17+,Games,37,5,1,1
