App Name,Size (bytes),App id,Currency,Price,Rating (All),Rating (Current),Avg Rating (All),Avy Rating (Current),Version,Rating(Content),Prefrence,Supp Devices,Screenshot,Supp Lang,Vpp Lic
银联钱包- 银行卡管家，扫码支付享优惠,91323392,600273928,USD,0,9,1,3.5,3,4.5.3,17+,Finance,37,0,1,1
Papa's Burgeria To Go!,43646976,600626116,USD,0.99,570,5,4.5,4,1.1.2,4+,Games,37,0,16,1
Pictoword: Fun 2 Pics Guess What's the Word Trivia,126216192,600674056,USD,0,186089,1010,5,4.5,2.4.2,4+,Games,37,5,1,1
"SFind Premium Search for Spotify, YouTube & iTunes",8078336,601137830,USD,2.99,411,11,3,4.5,1.7,4+,Entertainment,40,2,15,1
Junk Jack,161118208,601584735,USD,4.99,6891,34,4.5,4,3.1,4+,Games,37,5,1,1
Ridiculous Fishing - A Tale of Redemption,49524736,601831815,USD,2.99,9095,3789,4.5,4.5,1.31,12+,Games,43,5,1,1
Cover Orange 2: Journey,84934656,602065803,USD,0.99,10604,3488,4.5,4.5,1.2,4+,Games,43,5,11,1
CVS,78570496,602716057,USD,0,12402,338,4.5,4,1.13,17+,Shopping,24,5,2,1
A Beautiful Mess,63549440,603092599,USD,0.99,4251,786,4,4.5,2.4,4+,Photo & Video,38,5,1,1
Smash Hit,97505280,603527166,USD,0,126233,22200,4.5,4.5,1.4.0,4+,Games,40,5,9,1
Sprinkle Islands,48369664,603529731,USD,1.99,2972,1160,4.5,4,1.1.2,4+,Games,43,5,9,1
Racing Rivals,339898368,604186826,USD,0,55548,97,4,3.5,6.2.3,4+,Games,38,5,8,1
Little Inferno,48181248,604376012,USD,2.99,418,52,4,4.5,1.33,12+,Games,39,0,6,1
Get Drunk Not Fat,32999424,604687408,USD,0.99,19,5,2.5,2,1.4.1,17+,Food & Drink,38,3,1,1
Photon Safe Web Browser with Flash Player for Kids,34903040,605040858,USD,4.99,53,2,2.5,3,6.2,4+,Education,24,3,10,1
Pirate Power,112133120,605057245,USD,0,2555,332,4.5,4.5,1.2.150,9+,Games,38,5,2,1
Hunting Simulator,67679232,605477810,USD,2.99,50,9,3.5,2.5,1.6.9,12+,Sports,43,2,1,1
Iron Force,124666880,606190854,USD,0,141634,1655,5,4,2.4.1,17+,Games,38,5,12,1
Facetune,61157376,606310581,USD,3.99,7643,110,4.5,4.5,2.6.3,4+,Photo & Video,38,0,12,1
Solitaire Classic Card Game™,141391872,606413051,USD,0,22079,193,4.5,4,1.1.0,4+,Games,43,4,1,1
RPG AVABEL ONLINE,135512064,606800657,USD,0,10514,86,4.5,5,4.0.45,9+,Games,38,5,2,1
Fireman Sam - Fire & Rescue,215833600,606910110,USD,1.99,38,1,3.5,1,5,4+,Games,40,5,10,1
Glow Puzzle,24502272,607527020,USD,1.99,2374,464,4.5,4.5,2.3.3,4+,Games,43,5,1,1
"MOLDIV - Photo Editor, Collage & Beauty Camera",120056832,608188610,USD,0,39501,4851,4.5,4.5,3.2.1,4+,Photo & Video,37,5,18,1
Farm Heroes Saga,262421504,608206510,USD,0,187579,286,4.5,4.5,2.72.16,4+,Games,38,4,14,1
腾讯微云HD-安全备份共享文件和照片,61128704,608263551,USD,0,138,0,4,0,5.1.2,4+,Productivity,24,3,1,1
IMPOSSIBLE ROAD,128262144,608707318,USD,2.99,8249,18,4,4.5,1.3.3,4+,Games,37,5,1,1
X-War: Clash of Zombies,42917888,608847384,USD,0,17254,237,5,4.5,5.4,9+,Games,40,5,3,1
Cut the Rope: Time Travel,67177472,608899141,USD,0.99,9003,1038,5,4.5,1.5.0,4+,Games,40,0,10,1
Cut the Rope: Time Travel HD,118273024,608901634,USD,0.99,4294,829,4.5,4.5,1.5.0,4+,Games,24,5,10,1
Dr. Panda Supermarket,138589184,609405853,USD,2.99,342,24,4,4.5,1.7,4+,Education,40,4,19,1
실시간 날씨,5292032,609524351,USD,0,12,0,3.5,0,1.0.15,4+,Weather,38,0,1,1
FINAL FANTASY V,167030784,609577016,USD,14.99,1808,212,4.5,5,1.1.3,9+,Games,43,5,12,1
Alarmy Pro (Sleep If U Can) - Alarm Clock,170882048,609598558,USD,1.99,964,3,4.5,5,4.2.1,4+,Lifestyle,37,0,32,1
Theory Test for Car Drivers - Driving Test Success,65107968,609636705,USD,2.99,1,1,1,1,5.0.4,4+,Education,38,5,1,1
Hazard Perception Mega Pack - Driving Test Success,902940672,609649044,USD,2.99,0,0,0,0,3.0.2,4+,Education,38,5,1,1
Multiplayer for Minecraft PE,33418240,609704981,USD,2.99,35109,26,4,2,3.01,4+,Games,37,5,1,1
Infinity Blade III,3013255168,610003290,USD,0.99,37673,9983,4,4.5,1.4.2,12+,Games,40,5,18,1
易经全集-[有声读物],211591168,610386042,USD,0.99,0,0,0,0,1.1,4+,Reference,40,4,1,1
Asphalt 8: Airborne,1777940480,610391947,USD,0,188568,2850,4.5,4.5,3.0.0,12+,Games,37,5,15,1
Frozen: Storybook Deluxe - Now with Frozen Fever!,1223352320,610955645,USD,4.99,903,12,3.5,4,2,4+,Entertainment,38,5,5,1
Duck Life,235831296,611071723,USD,0.99,1257,2,4,4.5,2.54,4+,Games,37,5,1,1
Star Wars®: Knights of the Old Republic™,2469642240,611436052,USD,9.99,8767,965,4,4.5,1.2.5,12+,Games,40,5,5,1
PlayKids - Educational Cartoons and Games for Kids,376676352,613398383,USD,0,2196,63,4,4.5,4.1.2,4+,Education,37,5,8,1
WRAL Weather Alert,68850688,613464159,USD,0,25,1,3,1,3.1.1,4+,Weather,37,5,30,1
Face Swap and Copy Free – Switch & Fusion Faces in a Photo,11411456,613980069,USD,0,431,326,4,5,1.3,4+,Catalogs,38,5,1,1
InstaMag - Free Pic and Photo Collage Maker,95378432,615187629,USD,0,16221,262,4.5,5,3.8.7,4+,Photo & Video,38,5,4,1
